Time	Open	High	Low	Close	Volume	Volatility
27/05/2018 02:00:00	7523.0	7543.0	7509.7	7523.9	360.7932006900003	8.78493769033457
27/05/2018 03:00:00	7523.9	7565.1	7523.8	7545.0	433.6151779499997	10.745728121623587
27/05/2018 04:00:00	7545.0	7556.8	7526.3	7550.4	328.68788754000036	6.515137997340668
27/05/2018 05:00:00	7550.4	7553.8	7505.1	7528.0	413.74587437999986	11.540709473560643
27/05/2018 06:00:00	7528.0	7536.8	7519.8	7524.9	109.33039937999997	3.87172024697758
27/05/2018 07:00:00	7524.9	7609.5	7443.6	7464.7	1157.5362095299909	50.57448698247417
27/05/2018 08:00:00	7464.7	7467.0	7281.0	7315.9	1728.1731083299853	57.444930127673736
27/05/2018 09:00:00	7315.9	7356.0	7295.5	7327.7	796.8843401600031	13.735233546643478
27/05/2018 10:00:00	7327.7	7330.8	7220.0	7255.0	1252.2825007099946	29.643994923642193
27/05/2018 11:00:00	7255.0	7303.1	7245.0	7262.0	660.9606867899995	15.423491716841411
27/05/2018 12:00:00	7262.0	7327.3	7264.4	7298.2	523.6267743700004	10.975296967481757
27/05/2018 13:00:00	7298.2	7300.0	7266.0	7295.0	483.28014500000063	8.814256697540358
27/05/2018 14:00:00	7295.0	7312.1	7280.0	7302.8	297.9155772400011	8.114069691971899
27/05/2018 15:00:00	7302.8	7303.0	7252.1	7276.0	439.12160396000064	15.818222056685968
27/05/2018 16:00:00	7276.0	7300.1	7270.0	7286.6	523.2403845300004	7.367685872856427
27/05/2018 17:00:00	7286.6	7345.0	7268.5	7311.2	715.7191593500004	25.779420383558232
27/05/2018 18:00:00	7311.2	7327.1	7226.2	7288.0	1939.0342153500003	21.980144261064012
27/05/2018 19:00:00	7288.0	7324.7	7287.1	7314.5	480.11273662000286	9.469916553302173
27/05/2018 20:00:00	7314.5	7387.7	7310.74516684	7324.9	858.9119104599987	21.375720348614333
27/05/2018 21:00:00	7324.9	7342.6	7284.7	7333.1	351.0617533500002	12.540296648503077
27/05/2018 22:00:00	7333.1	7333.1	7288.0	7301.5	316.1788125400006	10.903315871742041
27/05/2018 23:00:00	7301.5	7305.72885801	7270.5	7296.3	340.22125150999995	9.3345690782816
28/05/2018 00:00:00	7296.3	7355.0	7277.1	7344.4	568.4317000200009	21.67711296651522
28/05/2018 01:00:00	7344.4	7359.1	7316.9	7328.4	374.3075598300006	10.539975328337094
